jue. 03/04/2025 17:42:14,51 - 
jue. 03/04/2025 17:54:03,95 - "Checking Python version..."
jue. 03/04/2025 17:54:03,96 - "Checking Python version..."
jue. 03/04/2025 17:54:03,98 - "Checking Python version..."
jue. 03/04/2025 17:54:03,98 - "Checking Python version..."
jue. 03/04/2025 17:54:04,00 - "Checking Python version..."
jue. 03/04/2025 17:54:04,01 - "Checking Python version..."
jue. 03/04/2025 17:54:04,03 - "Checking Python version..."
jue. 03/04/2025 17:54:04,04 - "Checking Python version..."
jue. 03/04/2025 17:54:04,06 - "Checking Python version..."
jue. 03/04/2025 17:54:04,08 - "Checking Python version..."
jue. 03/04/2025 17:54:04,10 - "Checking Python version..."
jue. 03/04/2025 17:54:04,12 - "Checking Python version..."
jue. 03/04/2025 17:54:04,14 - "Checking Python version..."
jue. 03/04/2025 17:54:04,15 - "Checking Python version..."
jue. 03/04/2025 17:54:04,17 - "Checking Python version..."
jue. 03/04/2025 17:54:04,18 - "Checking Python version..."
jue. 03/04/2025 17:54:04,20 - "Checking Python version..."
jue. 03/04/2025 17:54:04,21 - "Checking Python version..."
jue. 03/04/2025 17:54:04,22 - "Checking Python version..."
jue. 03/04/2025 17:54:04,23 - "Checking Python version..."
jue. 03/04/2025 17:54:04,24 - "Checking Python version..."
jue. 03/04/2025 17:54:04,26 - "Checking Python version..."
jue. 03/04/2025 17:54:04,28 - "Checking Python version..."
jue. 03/04/2025 17:54:04,29 - "Checking Python version..."
jue. 03/04/2025 17:54:04,31 - "Checking Python version..."
jue. 03/04/2025 17:54:04,33 - "Checking Python version..."
jue. 03/04/2025 17:54:04,35 - "Checking Python version..."
jue. 03/04/2025 17:54:04,37 - "Checking Python version..."
jue. 03/04/2025 17:54:04,38 - "Checking Python version..."
jue. 03/04/2025 17:54:04,39 - "Checking Python version..."
jue. 03/04/2025 17:54:04,41 - "Checking Python version..."
jue. 03/04/2025 17:54:04,42 - "Checking Python version..."
jue. 03/04/2025 17:54:04,44 - "Checking Python version..."
jue. 03/04/2025 17:54:04,46 - "Checking Python version..."
jue. 03/04/2025 17:54:04,47 - "Checking Python version..."
jue. 03/04/2025 17:54:04,48 - "Checking Python version..."
jue. 03/04/2025 17:54:04,49 - "Checking Python version..."
jue. 03/04/2025 17:54:04,50 - "Checking Python version..."
jue. 03/04/2025 17:54:04,52 - "Checking Python version..."
jue. 03/04/2025 17:54:04,53 - "Checking Python version..."
jue. 03/04/2025 17:54:04,54 - "Checking Python version..."
jue. 03/04/2025 17:54:04,55 - "Checking Python version..."
jue. 03/04/2025 17:54:04,56 - "Checking Python version..."
jue. 03/04/2025 17:54:04,57 - "Checking Python version..."
jue. 03/04/2025 17:54:04,58 - "Checking Python version..."
jue. 03/04/2025 17:54:04,60 - "Checking Python version..."
jue. 03/04/2025 17:54:04,62 - "Checking Python version..."
jue. 03/04/2025 17:54:04,64 - "Checking Python version..."
jue. 03/04/2025 17:54:04,65 - "Checking Python version..."
jue. 03/04/2025 17:54:04,67 - "Checking Python version..."
jue. 03/04/2025 17:54:04,68 - "Checking Python version..."
jue. 03/04/2025 17:54:04,69 - "Checking Python version..."
jue. 03/04/2025 17:54:04,71 - "Checking Python version..."
jue. 03/04/2025 17:54:04,72 - "Checking Python version..."
jue. 03/04/2025 17:54:04,74 - "Checking Python version..."
jue. 03/04/2025 17:54:04,75 - "Checking Python version..."
jue. 03/04/2025 17:54:04,77 - "Checking Python version..."
jue. 03/04/2025 17:54:04,79 - "Checking Python version..."
jue. 03/04/2025 17:54:04,80 - "Checking Python version..."
jue. 03/04/2025 17:54:04,82 - "Checking Python version..."
jue. 03/04/2025 17:54:04,83 - "Checking Python version..."
jue. 03/04/2025 17:54:04,85 - "Checking Python version..."
jue. 03/04/2025 17:54:04,86 - "Checking Python version..."
jue. 03/04/2025 17:54:04,88 - "Checking Python version..."
jue. 03/04/2025 17:54:04,90 - "Checking Python version..."
jue. 03/04/2025 17:54:04,92 - "Checking Python version..."
jue. 03/04/2025 17:54:04,93 - "Checking Python version..."
jue. 03/04/2025 17:54:04,95 - "Checking Python version..."
jue. 03/04/2025 17:54:04,97 - "Checking Python version..."
jue. 03/04/2025 17:54:04,99 - "Checking Python version..."
jue. 03/04/2025 17:54:05,01 - "Checking Python version..."
jue. 03/04/2025 17:54:05,02 - "Checking Python version..."
jue. 03/04/2025 17:54:05,04 - "Checking Python version..."
jue. 03/04/2025 17:54:05,06 - "Checking Python version..."
jue. 03/04/2025 17:54:05,07 - "Checking Python version..."
jue. 03/04/2025 17:54:05,08 - "Checking Python version..."
jue. 03/04/2025 17:54:05,10 - "Checking Python version..."
jue. 03/04/2025 17:54:05,12 - "Checking Python version..."
jue. 03/04/2025 17:54:05,13 - "Checking Python version..."
